    0.79     5.14   250.80 
    0.71     4.87   247.40 
    1.01     5.09   247.00 
    0.74     4.76   238.10 
    0.72     4.92   238.90 
    0.70     5.45   241.70 
    0.84     5.67   249.80 
    0.62     4.88   251.80 
    0.49     4.75   244.40 
    0.41     5.51   243.50 
    0.41     5.32   250.30 
    0.31     4.57   275.20 
    0.25     3.59   230.20 
    0.14     3.28   236.40 
    0.12     3.49   234.40 
    0.20     4.59   234.20 
    0.22     4.11   262.30 
    0.24     5.10   281.30 
    0.11     4.85   319.90 
    0.10     2.87   339.90 
    0.22     2.58    81.70 
    0.64     4.54   275.70 
    0.69     5.24   296.70 
    0.68     5.87   307.80 
    0.63     5.99   308.80 
    0.52     5.75   312.40 
    0.41     5.92   316.80 
    0.37     6.24   317.20 
    0.36     6.50   320.20 
    0.31     5.09   321.90 
    0.28     4.24   330.90 
    0.23     4.59   324.20 
    0.23     4.97   319.90 
    0.25     4.97   328.90 
    0.26     4.37   333.90 
    0.19     3.88   325.30 
    0.22     5.21   327.90 
    0.28     5.33   346.90 
    0.26     4.97   339.20 
    0.21     4.97   334.20 
    0.18     5.70   322.90 
    0.17     5.21   326.90 
    0.18     4.85   324.90 
    0.16     4.97   320.20 
    0.17     4.97   318.20 
    0.12     4.09   322.30 
    0.16     4.08   344.10 
    0.14     3.02   331.70 
    0.14     3.11   333.70 
    0.20     3.65   338.70 
    0.12     2.93   334.70 
    0.13     3.06   337.90 
    0.13     3.54   340.90 
    0.15     3.54   336.90 
    0.13     3.25   335.90 
    0.14     3.31   337.70 
    0.20     3.79   343.10 
    0.34     5.61   358.20 
    0.45     5.46     4.90 
    0.30     4.21   354.10 
    0.20     3.79   346.10 
    0.20     4.32   346.10 
    0.28     4.63   354.10 
    0.35     4.32   345.10 
    0.28     4.00   340.10 
    0.35     4.90   347.30 
    0.35     4.70   349.30 
    0.25     4.32   345.10 
    0.21     4.00   341.10 
    0.18     4.42   335.10 
    0.29     4.95   342.10 
    0.31     4.21   345.10 
    0.27     3.90   339.10 
    0.27     5.34   347.90 
    0.30     5.99   359.20 
    0.26     5.10   356.20 
    0.22     5.35   356.20 
    0.60     4.34   272.50 
    0.91     4.98   255.10 
    1.06     6.21   252.30 
    0.95     5.55   248.30 
    0.79     5.40   249.80 
    0.68     5.27   267.60 
    0.67     6.57   302.60 
    0.63     6.87   306.40 
    0.76     7.87   307.40 
    0.57     7.68   311.80 
    0.57     7.18   313.80 
    0.66     7.05   310.80 
    0.67     7.59   316.70 
    0.49     7.05   317.10 
    0.47     5.63   312.20 
    0.45     5.41   314.70 
    0.45     5.51   313.20 
    0.51     6.80   323.10 
    0.45     6.29   325.10 
    0.51     6.42   314.80 
    0.65     5.87   301.80 
    0.57     6.12   306.40 
    0.47     6.11   314.20 
    0.55     6.12   309.40 
    0.56     6.55   310.80 
    0.62     6.42   310.80 
    0.65     5.92   313.80 
    0.56     6.04   311.80 
    0.66     6.04   313.80 
    0.69     6.55   313.80 
    0.68     5.79   311.80 
    0.67     6.00   313.40 
    0.63     5.92   315.80 
    0.66     6.55   310.80 
    0.71     6.12   311.40 
    0.70     6.50   311.40 
    0.72     6.25   309.40 
    0.41     6.42   310.10 
    0.52     6.55   314.80 
    0.49     6.42   311.80 
    0.54     6.67   312.80 
    0.56     7.43   311.80 
    0.47     7.17   315.20 
    0.45     5.84   323.20 
    0.38     5.38   325.65 
    0.30     4.91   328.10 
    0.33     5.45   341.90 
    0.40     5.33   349.90 
    0.35     5.10   335.20 
    0.34     4.49   342.90 
    0.37     5.82   334.90 
    0.40     5.31   331.30 
    0.17     4.16   332.70 
    0.29     5.10   345.20 
    0.67     4.92   262.70 
    1.07     5.58   243.00 
    1.72     6.91   248.60 
    1.84     6.79   247.60 
    1.61     6.05   246.60 
    1.25     5.72   245.70 
    1.05     5.94   245.00 
    0.99     5.70   247.00 
    0.89     5.28   245.30 
    0.71     5.48   256.30 
    0.64     5.14   265.60 
    0.67     4.97   269.50 
    0.71     4.79   279.70 
    0.66     5.07   285.40 
    0.52     4.58   288.40 
    0.50     5.04   294.50 
    0.57     5.75   298.70 
    0.59     6.51   300.70 
    0.42     5.77   305.60 
    0.39     6.14   305.60 
    0.44     7.24   308.80 
    0.36     7.30   316.20 
    0.30     5.70   309.90 
    0.28     5.88   304.90 
    0.25     6.06   299.90 
    0.34     5.97   322.20 
    0.34     5.44   314.20 
    0.37     5.00   311.80 
    0.47     5.03   307.60 
    0.38     6.06   308.80 
    0.36     5.53   312.80 
    0.32     5.53   308.80 
    0.30     6.06   315.80 
    0.35     6.98   313.80 
    0.29     5.31   317.20 
    0.44     5.33   323.90 
